typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,sector
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,590320,"Textile fabrics; impregnated, coated, covered or laminated with polyurethane",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,205881.0,True,-1,N/A,,False,205881.0,True,,False,,2174759.0,2174759.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,590390,"Textile fabrics; impregnated, coated, covered or laminated with plastics, (excluding polyvinyl chloride, polyurethane and those of heading no. 5902)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1748960.0,True,-1,N/A,,False,1748960.0,True,,False,,16489375.0,16489375.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520843,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, 3-thread or 4-thread twill, including cross twill, weighing not more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,586037.0,True,-1,N/A,,False,586037.0,True,,False,,9684317.0,9684317.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520849,"Fabrics, woven; containing 85% or more by weight of cotton, of yarns of different colours, of weaves n.e.c. in item no. 5208.4, weighing not more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,53207.0,True,-1,N/A,,False,53207.0,True,,False,,1208799.0,1208799.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520851,"Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing not more than 100g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5136082.0,True,-1,N/A,,False,5136082.0,True,,False,,146305308.0,146305308.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520852,"Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing more than 100g/m2 but not more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15851077.0,True,-1,N/A,,False,15851077.0,True,,False,,192281246.0,192281246.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520859,"Fabrics, woven; containing 85% or more by weight of cotton, printed, of weaves n.e.c. in item no. 5208.5, weighing not more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2197267.0,True,-1,N/A,,False,2197267.0,True,,False,,26013523.0,26013523.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520911,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, plain weave, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2841236.0,True,-1,N/A,,False,2841236.0,True,,False,,34672151.0,34672151.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520912,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, 3-thread or 4-thread twill, including cross twill, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3195602.0,True,-1,N/A,,False,3195602.0,True,,False,,17244314.0,17244314.0,6,True,False,textiles
C,A,20160101,2016,52,2016,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,520919,"Fabrics, woven; containing 85% or more by weight of cotton, unbleached, of weaves n.e.c. in item no. 5209.1, weighing more than 200g/m2",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1492800.0,True,-1,N/A,,False,1492800.0,True,,False,,8596232.0,8596232.0,6,True,False,textiles
